48492957,"Orwell, George",Keep the aspidistra flying,Oxford,Oxford University Press,2021
12850137,"Orwell, George",Animal farm,Edinburgh,Barrington Stoke,2021
55397750,"Orwell, George",Nineteen eighty-four,Ware,Wordsworth,2021
98729747,"Orwell, George",Animal farm,Ware,Wordsworth,2021
25669978,"Orwell, George",Nineteen eighty-four,Edinburgh,Polygon,2021
25669978,"Orwell, George",Nineteen eighty-four,Edinburgh,Polygon,2021
37397113,"Orwell, George",A clergyman's daughter,Oxford,Oxford University Press,2021
15486710,"Orwell, George",Animal farm,London,Faber & Faber,2021
10850526,"Orwell, George",Nineteen eighty-four,London,William Collins,2021
15486710,"Orwell, George",Animal farm,London,Faber & Faber,2021
80651225,"Orwell, George",Burmese days,London,William Collins,2021
12872275,"Orwell, George",Animal farm,London,Flame Tree 451,2021
69924928,"Orwell, George",Nineteen eighty-four,London,Flame Tree 451,2021
44820955,"Orwell, George",Animal farm : GCSE 9-1 set text student edition,London,Collins,2021
30743268,"Christin, Pierre",Orwell,London,SelfMadeHero,2021
16381288,"Orwell, George",A clergyman's daughter,London,Arcturus Digital,2021
10164287,"Orwell, George",1984,London,Arcturus Digital,2021
99336689,"Orwell, George",Animal farm,London,Arcturus Digital,2021
94777681,"Orwell, George",Keep the aspidistra flying,London,Arcturus Digital,2021
13905967,"Orwell, George",Burmese days,London,Arcturus Digital,2021
22963880,"Shaw, Dom",Eric is awake,,Anonymous Press,2013
15963563,"Glover, Dennis",The last man in Europe : a novel,"Carlton, Victoria",Black,2017
15573294,"Bissell, Norman",Barnhill,Edinburgh,Luath Press,2019
68629109,"Bissell, Norman",Barnhill : a novel,Edinburgh,Luath Press,2020
39958626,"Glover, Dennis",The last man in Europe,Edinburgh,Polygon,2020
13780208,"Glover, Dennis",The last man in Europe : a novel,Edinburgh,Polygon,2020
36001583,"Chapman, Jake",1984.1,Falmouth,Urbanomic,2020
55714460,"Orwell, George",Unwelcome guerrilla : George Orwell and the New statesman : an anthology,London,New Statesman,1984
14854532,"Orwell, George",Essays,London,Penguin,2014
16863684,"Orwell, George",George Orwell : essays,London,Penguin,2014
28975137,"Orwell, George",Shooting an elephant,London,Penguin,2021
16625526,"Orwell, George",England your England,London,Pushkin,2021
26922248,"Orwell, George",Why I write,London,Renard Press,2021
13957541,"Orwell, George",The prevention of literature,London,Renard Press,2021
28975137,"Orwell, George",Shooting an elephant,London,Penguin,2021
21037569,"Orwell, George",Selected essays,Oxford,Oxford University Press,2021
16625526,"Orwell, George",England your England,London,Pushkin,2021
65922162,"Orwell, George",Inside the whale : on writers and writing,London,Pushkin,2021
46634478,"Orwell, George",Down and out in Paris and London : The road to Wigan Pier,Ware,Wordsworth,2021
26922248,"Orwell, George",Why I write,London,Renard Press,2021
13957541,"Orwell, George",The prevention of literature,London,Renard Press,2021
58199544,"Orwell, George",Politics and the English language,London,Penguin,2013
80743216,"Orwell, George",Diaries,London,Harvill Secker,2020
16741490,"Orwell, George",All propaganda is lies : 1941-1942,London,Secker,2015
79687551,"Orwell, George","I have tried to tell the truth, 1943-1944",London,Secker,2015
20063082,"Orwell, George",Orwell on truth,London,Harvill Secker,2017
12362282,"Orwell, George",Orwell on truth,London,Vintage Digital,2017
64177325,"Orwell, George",George Orwell visions of dystopia,London,Flame Tree Collections,2021
68022463,"Orwell, George",Seeing things as they are : selected journalism and other writings,London,Harvill Secker,2014
65404695,"Orwell, George",I belong to the left : 1945,London,Secker,2015
77806824,"Orwell, George",A kind of compulsion : 1903-1936,London,Secker,2015
76040861,"Orwell, George","Facing unpleasant facts, 1937-1939",London,Secker,2015
39797394,"Stewart, Anthony","George Orwell, doubleness and the value of decency",London,Routledge,2015
34816212,"Woloch, Alex",Or Orwell : writing and democratic socialism,"Cambridge, Massachusetts",Harvard University,2016
27867204,"Orwell, George",Seeing things as they are : selected journalism and other writings,London,Penguin,2016
27867204,"Orwell, George",Seeing things as they are : selected journalism and other writings,London,Penguin,2016
55714460,"Orwell, George",Unwelcome guerrilla : George Orwell and the New statesman : an anthology,London,New Statesman,1984
56069430,"Bounds, Philip",Orwell and Marxism : the political and cultural thinking of George Orwell,London,I.B. Tauris,2016
13393051,"Brennan, Michael G.",George Orwell and religion,London,Bloomsbury,2017
68557212,"Williams, Ian",Political and cultural perceptions of George Orwell : British and American views,Basingstoke,Palgrave Macmillan,2017
98685372,"Orwell, George",A life in letters,London,Penguin,2011
14580282,"Dwan, David","Liberty, equality, and humbug : Orwell's political ideals",Oxford,Oxford University Press,2018
14580282,"Dwan, David","Liberty, equality, and humbug : Orwell's political ideals",Oxford,Oxford University Press,2018
20922192,"Connelly, Mark",George Orwell : a literary companion,"Jefferson, North Carolina",McFarland,2018
70793254,"Ryan, David","George Orwell on screen : adaptations, documentaries and docudramas on film and television","Jefferson, North Carolina",McFarland,2018
14221870,"Ingle, Stephen",Orwell reconsidered,London,Routledge,2019
14221870,"Ingle, Stephen",Orwell reconsidered,London,Routledge,2019
14558673,"Topp, Sylvia",Eileen : the making of George Orwell,London,Unbound,2020
15465692,"Keeble, Richard",Journalism beyond Orwell : a collection of essays,London,Routledge,2020
15465692,"Keeble, Richard",Journalism beyond Orwell : a collection of essays,London,Routledge,2020
43662455,"Topp, Sylvia",Eileen : the making of George Orwell,London,Unbound,2021
16014485,"Orwell, George",Down and out in Paris and London,London,Harvill Secker,2018
33168286,"Ricks, Thomas E.",Churchill and Orwell : the fight for freedom,New York,Penguin,2017
19990507,"Ricks, Thomas E.",Churchill & Orwell : the fight for freedom,London,Duckworth Overlook,2017
45455313,"Ricks, Thomas E.",Churchill and Orwell : the fight for freedom,London,Gerald Duckworth,2017
11932475,"Ricks, Thomas E.",Churchill and Orwell : the fight for freedom,London,Duckworth Overlook,2018
15276370,"Orwell, George",Orwell's England,London,Penguin,2020
30964127,"Orwell, George",Orwell and England : selected essays,London,Macmillan,2021
15078995,"Hall, Christopher","'In Spain with Orwell' : George Orwell and the Independent Labour Party volunteers in the Spanish Civil War, 1936-1939",Perth,Tippermuir,2013
15081403,"Orwell, George",Homage to Catalonia,London,Viking,2013
13877505,"Orwell, George",Homage to Catalonia,London,Penguin,2003
84974522,"Orwell, George",Homage to Catalonia,London,Harvill Secker,2018
10417634,"Orwell, George","Orwell in Spain : the full text of Homage to Catalonia with associated articles, reviews and letters from The complete works of George Orwell",London,Penguin,2020
10446675,"Orwell, George",Homage to Catalonia,London,Harper,2021
16496033,"Orwell, George",Homage to Catalonia,Oxford,Oxford University Press,2021
37100601,"Orwell, George",Homage to Catalonia,London,Vintage Classics,2021
33119443,"Orwell, George",Homage to Catalonia,London,Arcturus,2021
10446675,"Orwell, George",Homage to Catalonia,London,Harper,2021
10446675,"Orwell, George",Homage to Catalonia,London,Harper,2021
15416635,"Orwell, George",Homage to Catalonia,London,Macmillan,2021
98181044,"Orwell, George",Homage to Catalonia,London,Arcturus Digital,2021
13444222,"Lavoie, Frédérick",Orwell in Cuba : how 1984 came to be published in Castro's twilight,"Vancouver, British Columbia",Talonbooks,2020
